RANGE,PCA_0,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7
3.53,-2.6167220162184788,-0.43211414207096177,0.9990317501346376,-0.22666621641339227,-0.11704437186518159,0.32478003934129407,-0.053304221502939154,0.12731182378104755
3.54,-0.3011766340750055,-0.7207879478195399,-0.8786665415923247,-1.2023393131278983,-0.15034117611928016,-0.3892761165434615,0.5311463485730332,-0.4968790982882207
3.95,-3.1090032082334975,0.040204056107246686,1.3070691425442649,0.12435856342236387,0.012773799555733769,-0.43648538938527687,0.33189617138981464,-0.22601937246326395
1.09,-1.4862280804606376,-0.9155281500879522,0.8414468411825912,-0.824823555230928,0.37113624116902333,0.5073991507998555,0.6329442092924388,-0.7803728318726811
1.39,0.48780529683047813,-0.9048411758365685,0.5340552517427377,-0.5179639478934347,0.07406373092679135,0.8429586747159165,0.4913556507007781,-0.84176853631879
1.62,0.9973557858623855,0.09065734274691158,0.439337984819154,-0.4802219999756106,-0.03766643368276237,1.7439593337298716,-0.26006882845620666,1.1169635275121392
1.31,2.1113010024845016,1.420624569877004,0.8425174190925834,0.30204593209890374,0.3742760858360945,0.35563360307432024,-0.39757112980294557,-0.8835571003371749
3.73,0.24713549483002012,0.4488807074842069,-0.5731999600805059,-0.8584739945404684,1.478703581759219,-0.789951334855484,-0.9841097386693115,0.6553459409323116
5.83,0.08777446528221106,-0.2027221419106005,0.45541033548011384,-0.4112863133683285,-1.1409904326306224,1.5722822330871336,0.633645915507906,0.26109801344698047
1.26,2.0209359641087725,0.4875044346189755,0.5943876560965661,0.8485926361958551,-0.9051755872015018,0.5107835870377332,0.9055363228624146,0.06043268982790001
10.01,-3.209781013904435,0.047753576698082376,1.253076550313091,0.18695752791441492,-0.13172819039887454,-0.3053361882020866,-0.2848649680458577,-0.20469079360958886
6.4,-2.5163646917959865,-0.2885092267862665,1.0793554147939572,0.4279513088000064,-0.14773343883654533,-0.1521636552530458,-0.46133660816649036,0.30436133695422307
2.33,0.9299051894552958,-1.0976947112430613,0.5697722997002732,1.433821946824896,-0.7745450574420015,-0.2824085006764419,0.4080028115624395,-0.06577236951692764
5.55,-2.3630519680302777,1.2084842146345596,1.4588806654902515,0.0788090599162711,0.6264996201612645,-0.38112674146642295,-0.16530876517383766,0.06413464421508341
1.31,0.8664370754383256,-0.7559259805899198,-1.302347837058647,-0.8654818119652858,-0.7130421123794294,0.6999361552423805,-0.14182949776328774,1.6117506013276335
